date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_elo_pre,away_elo_pre,elo_diff,tournament_weight,is_competitive,home_confederation,away_confederation
1974-10-09,Sudan,Tunisia,1.0,3.0,Kuneitra Cup,Damascus,Syria,True,1569.0659299152662,1615.4053578143037,-46.339427899037446,1,True,Unknown,CAF
1974-10-09,Syria,Morocco,1.0,1.0,Kuneitra Cup,Damascus,Syria,False,1577.8920485596282,1691.9114044377832,-114.01935587815501,1,True,Unknown,CAF
1974-10-12,Belgium,France,2.0,1.0,UEFA Euro qualification,Brussels,Belgium,False,1763.6345085438677,1652.8179464831535,110.8165620607142,3,True,UEFA,UEFA
1974-10-12,German DR,Iceland,1.0,1.0,UEFA Euro qualification,Magdeburg,German DR,False,1820.8893258121784,1222.6289163048264,598.260409507352,3,True,Unknown,Unknown
1974-10-12,Argentina,Spain,1.0,1.0,Friendly,Buenos Aires,Argentina,False,1719.919512508674,1753.143761681171,-33.22424917249714,1,False,CONMEBOL,UEFA
1974-10-13,Bulgaria,Greece,3.0,3.0,UEFA Euro qualification,Sofia,Bulgaria,False,1668.3977610595086,1458.6818543193458,209.71590674016284,3,True,Unknown,Unknown
1974-10-13,Czechoslovakia,Sweden,4.0,0.0,Friendly,Bratislava,Czechoslovakia,False,1718.942229850867,1771.5309575872875,-52.588727736420424,1,False,Unknown,UEFA
1974-10-13,Denmark,Romania,0.0,0.0,UEFA Euro qualification,Copenhagen,Denmark,False,1461.166824524615,1690.2795559382232,-229.11273141360812,3,True,Unknown,Unknown
1974-10-13,Luxembourg,Hungary,2.0,4.0,UEFA Euro qualification,Luxembourg,Luxembourg,False,1197.9524797636795,1727.4832322960674,-529.5307525323879,3,True,Unknown,Unknown
1974-10-30,Republic of Ireland,Russia,3.0,0.0,UEFA Euro qualification,Dublin,Republic of Ireland,False,1465.730873841036,1747.8331804164875,-282.1023065754514,3,True,Unknown,Unknown
1974-10-30,England,Czechoslovakia,3.0,0.0,UEFA Euro qualification,London,England,False,1823.0704545746755,1735.149357864388,87.92109671028743,3,True,UEFA,Unknown
1974-10-30,Zanzibar,Somalia,2.0,1.0,CECAFA Cup,Zanzibar,Tanzania,False,1178.3129910638706,1388.6917397466505,-210.37874868277981,2,True,Unknown,Unknown
1974-10-30,Scotland,German DR,3.0,0.0,Friendly,Glasgow,Scotland,False,1756.1642499677305,1801.5951190646545,-45.43086909692397,1,False,UEFA,Unknown
1974-10-30,Yugoslavia,Norway,3.0,1.0,UEFA Euro qualification,Belgrade,Yugoslavia,False,1775.3394715188765,1363.8174547851336,411.52201673374293,3,True,Unknown,UEFA
1974-10-30,Wales,Hungary,2.0,0.0,UEFA Euro qualification,Cardiff,Wales,False,1496.701293765764,1732.1514170591688,-235.45012329340489,3,True,Unknown,Unknown
1974-10-30,Sweden,Northern Ireland,0.0,2.0,UEFA Euro qualification,Solna,Sweden,False,1755.323829573767,1599.9158989803043,155.40793059346265,3,True,UEFA,Unknown
1974-10-31,Algeria,Morocco,0.0,0.0,Friendly,Algiers,Algeria,False,1571.507144763865,1691.608936455665,-120.10179169179992,1,False,CAF,CAF
1974-10-31,Poland,Canada,2.0,0.0,Friendly,Warsaw,Poland,False,1875.8535092386344,1467.6016909042446,408.2518183343898,1,False,Unknown,CONCACAF
1974-11-01,Vietnam Republic,Laos,1.0,0.0,Vietnam Independence Cup,Saigon,Vietnam Republic,False,1415.555956906473,1281.020558841497,134.5353980649761,1,True,Unknown,Unknown
1974-11-02,Laos,Malaysia,0.0,0.0,Vietnam Independence Cup,Saigon,Vietnam Republic,True,1277.932734458564,1568.2301350523708,-290.29740059380674,1,True,Unknown,Unknown
1974-11-02,Zanzibar,Uganda,1.0,2.0,CECAFA Cup,Zanzibar,Tanzania,False,1197.9243175461747,1550.6224484924066,-352.6981309462319,2,True,Unknown,Unknown
1974-11-03,Cambodia,Thailand,2.0,2.0,Vietnam Independence Cup,Saigon,Vietnam Republic,True,1404.646395333999,1363.9420718736335,40.70432346036546,1,True,Unknown,Unknown
1974-11-03,Kenya,Zambia,2.0,3.0,CECAFA Cup,Zanzibar,Tanzania,True,1488.6432448924622,1637.2760285715217,-148.63278367905946,2,True,Unknown,Unknown
1974-11-03,Malaysia,Taiwan,0.0,0.0,Vietnam Independence Cup,Saigon,Vietnam Republic,True,1563.1043263253157,1415.785014640389,147.3193116849268,1,True,Unknown,Unknown
1974-11-03,Singapore,China PR,1.0,1.0,Friendly,Kallang,Singapore,False,1256.701762937504,1687.3884841548788,-430.6867212173747,1,False,Unknown,Unknown
1974-11-04,Somalia,Uganda,1.0,1.0,CECAFA Cup,Zanzibar,Tanzania,True,1369.0804132643464,1556.3010693214508,-187.2206560571044,2,True,Unknown,Unknown
1974-11-05,Laos,Taiwan,1.0,2.0,Vietnam Independence Cup,Saigon,Vietnam Republic,True,1283.058543185619,1418.7873461364688,-135.72880295084974,1,True,Unknown,Unknown
